Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /,130,0,140,166.85815923265181,131.7447000183165,491.87150003854185,255.0,2.2739997538910033,0.0,140,150,160,170,210,300,450,460,490,490,490
POST,POST login form,5,5,310,319.0100000007078,287.33820002526045,361.463500012178,1714.0,0.08746152899580781,0.08746152899580781,310,340,340,360,360,360,360,360,360,360,360
,Aggregated,135,5,140,172.49341259443167,131.7447000183165,491.87150003854185,309.037037037037,2.361461282886811,0.08746152899580781,140,150,170,180,240,360,450,460,490,490,490
