Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1779103824,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1779103825,1,,Aggregated,0.000000,0.000000,310,310,310,310,310,310,310,310,310,310,310,2,1,140,225.47915001632646,136.11630001105368,314.84200002159923,984.5
1779103826,3,,Aggregated,0.000000,0.000000,310,310,340,340,340,340,340,340,340,340,340,4,2,170,240.19069998757914,136.11630001105368,342.49059995636344,984.5
1779103827,4,,Aggregated,0.000000,0.000000,310,310,340,340,360,360,360,360,360,360,360,6,3,170,242.82666666355604,134.73370001884177,361.463500012178,984.5
1779103828,5,,Aggregated,2.000000,1.000000,290,310,340,360,490,490,490,490,490,490,490,10,4,170,252.5784299999941,134.73370001884177,491.87150003854185,838.6
1779103829,5,,Aggregated,2.000000,1.000000,170,290,310,340,360,490,490,490,490,490,490,13,5,170,238.12543076480955,134.73370001884177,491.87150003854185,816.1538461538462
1779103830,5,,Aggregated,2.000000,1.000000,150,290,310,310,360,490,490,490,490,490,490,16,5,150,220.65024999756133,134.73370001884177,491.87150003854185,710.9375
1779103831,5,,Aggregated,2.500000,1.000000,150,290,290,310,360,490,490,490,490,490,490,17,5,150,216.04409411563265,134.73370001884177,491.87150003854185,684.1176470588235
1779103832,5,,Aggregated,2.400000,1.000000,150,180,290,310,360,490,490,490,490,490,490,20,5,150,207.80271999828983,134.73370001884177,491.87150003854185,619.75
1779103833,5,,Aggregated,2.666667,0.833333,150,170,290,290,340,360,490,490,490,490,490,22,5,150,201.70103181788528,134.73370001884177,491.87150003854185,586.5909090909091
1779103834,5,,Aggregated,2.500000,0.625000,150,160,290,290,340,360,490,490,490,490,490,24,5,150,197.3815166663068,134.73370001884177,491.87150003854185,558.9583333333334
1779103835,5,,Aggregated,2.500000,0.625000,150,170,190,290,340,360,490,490,490,490,490,26,5,150,194.63911153994,134.73370001884177,491.87150003854185,535.5769230769231
1779103836,5,,Aggregated,2.444444,0.555556,150,170,210,290,340,360,490,490,490,490,490,28,5,150,193.33451071413168,134.73370001884177,491.87150003854185,515.5357142857143
1779103837,5,,Aggregated,2.400000,0.400000,150,160,190,210,310,360,490,490,490,490,490,31,5,150,188.20629032298683,134.73370001884177,491.87150003854185,490.3225806451613
1779103838,5,,Aggregated,2.400000,0.400000,140,160,180,210,310,360,490,490,490,490,490,33,5,140,185.11469090872473,134.73370001884177,491.87150003854185,476.06060606060606
1779103839,5,,Aggregated,2.400000,0.200000,140,160,180,210,310,360,490,490,490,490,490,35,5,140,182.34002571386685,134.73370001884177,491.87150003854185,463.42857142857144
1779103840,5,,Aggregated,2.300000,0.100000,140,160,170,190,310,360,490,490,490,490,490,38,5,140,180.44565262971446,134.73370001884177,491.87150003854185,446.9736842105263
1779103841,5,,Aggregated,2.300000,0.100000,140,160,180,210,340,450,490,490,490,490,490,40,5,140,186.00520249747206,134.73370001884177,491.87150003854185,437.375
1779103842,5,,Aggregated,2.200000,0.000000,140,160,170,190,310,360,490,490,490,490,490,41,5,140,185.05746097355035,134.73370001884177,491.87150003854185,432.9268292682927
